MSOA code,house price
E02005208,165000 
E02005209,171495 
E02005210,239250 
E02005211,233000 
E02002574,224998 
E02002575,206750 
E02002576,134500 
E02002577,100000 
E02002578,175500 
E02002579,108250 
E02002580,85000 
E02002581,150000 
E02002582,245000 
E02002583,150995 
E02002584,127250 
E02002585,105000 
E02002586,91250 
E02002587,110000 
E02002588,93500 
E02002589,179250 
E02005212,108975 
E02005213,121000 
E02005214,119248 
E02005215,89000 
E02005216,99500 
E02005217,57750 
E02005218,102000 
E02005219,135000 
E02005220,122750 
E02001327,154995 
E02001328,142500 
E02001329,164998 
E02001330,89625 
E02001331,115000 
E02001332,125000 
E02001333,180995 
E02001334,115995 
E02001335,179995 
E02001336,100250 
E02001337,159495 
E02001338,199995 
E02001339,125000 
E02001340,170000 
E02001341,105000 
E02001342,195000 
E02001343,180000 
E02001344,165000 
E02001345,159225 
E02001346,125000 
E02005221,181000 
E02005222,275000 
E02005223,222500 
E02005224,168000 
E02005225,240000 
E02005226,104000 
E02005228,120000 
E02005229,95000 
E02005230,124950 
E02005231,114000 
E02005233,199998 
E02005234,135000 
E02005235,140000 
E02005236,159500 
E02005237,147750 
E02005238,172000 
E02005239,175000 
E02006871,160000 
E02001347,103975 
E02001348,94250 
E02001349,117500 
E02001350,95000 
E02001351,82000 
E02001352,90000 
E02001353,140000 
E02001354,89500 
E02001355,73750 
E02001356,156245 
E02001357,95000 
E02001358,58750 
E02001359,153500 
E02001360,70000 
E02001361,89000 
E02001362,117000 
E02001363,91000 
E02001364,102500 
E02001365,62500 
E02001366,93500 
E02001367,190000 
E02001368,96250 
E02001369,58000 
E02001370,71000 
E02001371,98000 
E02001372,146500 
E02001373,102910 
E02001374,103000 
E02001375,100000 
E02001376,75000 
E02001377,123000 
E02001378,134000 
E02001380,185000 
E02001381,91500 
E02001382,210000 
E02001383,79950 
E02001384,128750 
E02001385,88257 
E02001386,140000 
E02001387,281250 
E02001388,191588 
E02001389,120000 
E02001390,88000 
E02001391,93500 
E02001392,270000 
E02001393,401000 
E02001394,185000 
E02001395,215000 
E02001396,135000 
E02001397,190000 
E02001398,215000 
E02001399,285000 
E02001400,183750 
E02001401,192750 
E02001402,242500 
E02001403,142500 
E02001404,130000 
E02001405,111995 
E02006932,99950 
E02006933,129000 
E02006934,162000 
E02001045,115000 
E02001046,146250 
E02001047,127000 
E02001048,129000 
E02001049,135000 
E02001050,107500 
E02001051,118000 
E02001052,132000 
E02001053,95000 
E02001055,112000 
E02001056,115000 
E02001057,217950 
E02001059,132500 
E02001061,137500 
E02001062,203995 
E02001063,158000 
E02001064,187209 
E02001065,110000 
E02001066,157000 
E02001067,159950 
E02001068,140000 
E02001069,145125 
E02001070,164725 
E02001071,123750 
E02001072,250000 
E02001073,315000 
E02001074,165500 
E02001075,166500 
E02001076,239500 
E02001077,342500 
E02001078,224975 
E02001079,207235 
E02001080,190000 
E02001081,292500 
E02001082,225000 
E02001083,350000 
E02001084,250000 
E02001085,197778 
E02001086,213500 
E02001087,350000 
E02001088,172750 
E02001089,280000 
E02001090,225000 
E02001091,178000 
E02001092,153000 
E02001093,151000 
E02001094,137500 
E02001095,142000 
E02001096,164000 
E02001097,156000 
E02006902,209681 
E02006912,200000 
E02006913,178000 
E02006914,212000 
E02006915,145000 
E02006916,195000 
E02006917,235000 
E02001098,145000 
E02001099,124500 
E02001100,146000 
E02001101,157000 
E02001102,125000 
E02001103,250000 
E02001104,147500 
E02001105,150000 
E02001106,127500 
E02001107,137000 
E02001108,91000 
E02001109,88500 
E02001110,243300 
E02001111,72000 
E02001112,175000 
E02001113,85500 
E02001114,129000 
E02001115,134000 
E02001116,80000 
E02001117,220000 
E02001118,219500 
E02001119,78000 
E02001121,80000 
E02001123,106500 
E02001124,96000 
E02001125,122000 
E02001126,82250 
E02001127,142995 
E02001128,113000 
E02001129,172000 
E02001130,166000 
E02001131,150000 
E02006860,115000 
E02005240,141225 
E02005241,114000 
E02005242,122500 
E02005243,95500 
E02005244,97000 
E02005245,165000 
E02005246,120000 
E02005247,165000 
E02005248,52500 
E02005249,54995 
E02005250,59000 
E02005251,115000 
E02005252,118500 
E02005253,234000 
E02005254,269995 
E02005255,199995 
E02005256,171313 
E02005257,105000 
E02005258,184750 
E02005259,133000 
E02005260,145000 
E02005261,102250 
E02005262,196995 
E02005263,80000 
E02005264,103630 
E02005265,122500 
E02005266,73000 
E02005267,71375 
E02005268,90000 
E02005269,98000 
E02005270,297500 
E02005271,218995 
E02005272,189995 
E02005273,220000 
E02005274,278750 
E02005275,196500 
E02005276,282000 
E02005277,224000 
E02001132,131961 
E02001133,152500 
E02001134,183000 
E02001135,115000 
E02001136,150000 
E02001137,175000 
E02001138,203000 
E02001139,78250 
E02001140,137750 
E02001141,77975 
E02001142,247000 
E02001143,115000 
