MSOA Code,Cases1,Cases2,Cases3,NUK,O65,Bame,HP,OO,OML,SR,PR,NP,Density,Geo,IMD,Health,Income,AS,Employment,Education,Crime,Environment
E02000042,359.2,922.7,1241.1,46.40473729,0.150787323,0.420340258,450000,24.9,28.1,8.7,35.6,2.5,74.38102298,-0.622666667,14.8745,-0.806333333,0.1135,0.1825,0.0655,3.919833333,0.165,27.468
E02000043,97.5,585,1291.7,41.37214137,0.140197599,0.396049896,778250,36.5,34.5,2.4,25.2,2.5,100.9645507,0.2652,7.3962,-1.5604,0.049,0.1432,0.0362,1.6226,-0.792,18.3918
E02000044,236.6,912.6,1588.6,39.1277413,0.160370461,0.438979061,410000,17.9,29.2,30.8,18.9,2.2,55.86113002,-0.9262,23.8342,-0.5322,0.1582,0.3218,0.1062,17.744,0.287,26.8948
E02000045,191.9,922.9,1516.7,36.12386441,0.10691753,0.354596073,440000,19,31.2,21.4,24.9,2,80.18066847,-0.370333333,20.1385,-0.72,0.145666667,0.250166667,0.093166667,10.96483333,0.280166667,22.992
E02000046,91.9,472.4,1167.5,45.24989381,0.110461398,0.372221436,447000,25.2,25.1,4.6,43.7,2.5,63.08357349,-0.58025,12.43975,-1.36825,0.08125,0.1515,0.05275,2.22275,0.27225,31.5995
E02000047,418.7,966.1,1634.2,49.21304845,0.122261577,0.539435505,380000,14.8,26,31.1,25.2,2.2,78.66873065,-0.7935,26.3125,-0.4975,0.176166667,0.358166667,0.098333333,20.46583333,0.6515,24.06583333
E02000048,233.5,1148.8,1447.7,38.18885607,0.111898245,0.361108282,500000,32,36.6,5.3,24.7,2.2,87.35583685,0.0948,12.468,-1.6764,0.0832,0.183,0.054,4.1826,0.0154,22.5234
E02000049,337.8,1203.1,1614.6,46.85405151,0.165872793,0.615429848,433700,6.7,12.7,62.3,13.3,1,34.71789883,-0.113,35.8512,-0.1744,0.2634,0.3468,0.1602,23.1064,0.3338,20.2038
E02000050,63.5,744.7,1371.5,37.85771065,0.079252849,0.376291733,430000,22.7,27.9,24.8,21.9,1.7,120.2538071,-0.312166667,18.2205,-0.939833333,0.131833333,0.217333333,0.081833333,8.515333333,0.1815,25.17566667
E02000051,243.1,729.3,1681.5,42.7084538,0.137783833,0.343009136,660000,33.8,24.9,6.2,32,4.2,51.90947666,-0.481,10.2584,-1.5928,0.0764,0.1662,0.052,2.9964,-0.3588,24.6564
E02000052,94.3,810.4,1441.6,34.93503815,0.182232577,0.265518664,592500,23.7,27.9,16.4,30.2,2.5,68.12974465,-0.636166667,12.2205,-1.193666667,0.097666667,0.144166667,0.055666667,4.120333333,-0.143,25.92083333
