MSOA11CD,all_bame_prop
E02000499,0.231036703
E02000500,0.182654913
E02000501,0.188068389
E02000502,0.213056614
E02000503,0.167594035
E02000504,0.175968572
E02000506,0.320647129
E02000507,0.312979982
E02000508,0.351916376
E02000509,0.42257966
E02000510,0.356845031
E02000511,0.423297263
E02000512,0.406949131
E02000513,0.559799555
E02000514,0.713238289
E02000515,0.304339496
E02000516,0.670576853
E02000517,0.56236958
E02000518,0.32210086
E02000519,0.63005313
E02000520,0.633721447
E02000521,0.484261501
E02000522,0.337108517
E02000523,0.722498962
E02000524,0.399519736
E02000525,0.616360752
E02000526,0.167104321
E02000528,0.373469003
E02000529,0.774029356
E02000530,0.731168641
E02000531,0.28277063
E02000532,0.215720524
E02000533,0.187128242
E02000534,0.528219791
E02000535,0.798837585
E02000536,0.765562628
E02000537,0.723085847
E02000538,0.780760369
E02000539,0.352957589
E02000540,0.544667965
E02000541,0.737802817
E02000542,0.726160068
E02000543,0.657645351
E02000544,0.487864374
E02000545,0.365358758
E02000546,0.755282051
E02000547,0.397542735
E02000548,0.327035043
E02000549,0.372515204
E02000550,0.385754109
E02000551,0.361736708
E02000552,0.282482458
E02000553,0.262528388
E02000554,0.394358528
E02000555,0.319302721
E02000556,0.337729816
E02000557,0.314254062
E02000558,0.518602029
E02000559,0.27443609
E02000560,0.318117581
E02000561,0.214820553
E02000562,0.294807159
E02000563,0.341857177
E02000564,0.334286804
E02000565,0.378282643
E02000566,0.22721705
E02000567,0.275535818
E02000568,0.379532468
E02000569,0.276292157
E02000570,0.187347649
E02000571,0.285020545
E02000572,0.444405554
E02000573,0.204749827
E02000574,0.309728267
E02000575,0.308941038
E02000576,0.357903707
E02000577,0.561744687
E02000578,0.444808555
E02000579,0.3113974
E02000580,0.367648758
E02000581,0.459852014
E02000582,0.220655438
E02000583,0.201561002
E02000584,0.213744192
E02000585,0.326097328
E02000586,0.270433775
E02000587,0.262395321
E02000588,0.207010663
E02000589,0.351729038
E02000590,0.288239487
E02000591,0.404786527
E02000592,0.207217867
E02000593,0.249213012
E02000594,0.153750689
E02000595,0.17132724
E02000596,0.180416345
E02000597,0.360729313
E02000598,0.177874187
E02000599,0.363136176
E02000600,0.281215805
E02000601,0.211739841
E02000602,0.285942492
E02000603,0.363613232
E02000604,0.364081062
E02000605,0.306498792
E02000606,0.234194123
E02000607,0.170449553
E02000608,0.22007722
E02000609,0.406884496
E02000610,0.205138288
E02000611,0.223164228
