MSOA Code,areaName,Not United Kingdom (%),Owned: Owned outright (%),Owned: Owned with a mortgage or loan (%),Social rented (%),Private rented (%),Household spaces with no usual residents (%),population_density,population_prop_over65
E02000042,North Finchley,46.40473729,24.9,28.1,8.7,35.6,2.5,74.38102298,0.150787323
E02000043,West Finchley,41.37214137,36.5,34.5,2.4,25.2,2.5,100.9645507,0.140197599
E02000044,Mill Hill Broadway,39.1277413,17.9,29.2,30.8,18.9,2.2,55.86113002,0.160370461
E02000045,Colney Hatch,36.12386441,19,31.2,21.4,24.9,2,80.18066847,0.10691753
E02000046,Church End,45.24989381,25.2,25.1,4.6,43.7,2.5,63.08357349,0.110461398
E02000047,Burnt Oak & Watling Park,49.21304845,14.8,26,31.1,25.2,2.2,78.66873065,0.122261577
E02000048,Copthall & Downage,38.18885607,32,36.6,5.3,24.7,2.2,87.35583685,0.111898245
E02000049,Grahame Park,46.85405151,6.7,12.7,62.3,13.3,1,34.71789883,0.165872793
E02000050,Fallow Corner,37.85771065,22.7,27.9,24.8,21.9,1.7,120.2538071,0.079252849
E02000051,Finchley Central,42.7084538,33.8,24.9,6.2,32,4.2,51.90947666,0.137783833
E02000052,East Finchley,34.93503815,23.7,27.9,16.4,30.2,2.5,68.12974465,0.182232577
E02000053,Colindale,57.180637,19,24.2,15.5,37.2,3.6,109.5252838,0.129181193
E02000054,North Hendon & Sunny Hill,52.05384402,24.4,29.6,6.8,37,3.8,107.6451613,0.067305963
E02000055,Hendon Central,51.03324349,24.7,21.1,14.4,37.2,4.4,50.98666667,0.121731172
E02000056,Hampstead Garden Suburb,33.38037343,40.7,29.2,5.4,21.9,5.8,83.29166667,0.127730532
E02000057,Hendon Park,44.21432389,29.1,25.8,6.1,36.7,4.9,29.77688255,0.18774066
E02000058,Temple Fortune,39.5890411,35.8,26.4,5.6,30.5,3.4,74.56621005,0.11524801
E02000059,West Hendon,54.64193518,22.2,23.3,23.6,28.8,2.4,60.40264755,0.174230664
E02000060,Golders Green North,43.11355311,27.4,21.9,7.4,40.9,3.9,54.11577028,0.112187316
E02000061,Golders Green South,50.86734057,31.3,19.5,3.1,43.3,6.7,100.1865369,0.129523193
E02000062,Brent Cross & Staples Corner,50.78864353,15.3,21,30.1,30.9,2.2,57.81348456,0.148991826
E02000063,North Cricklewood,56.14689428,27.6,25.9,6.3,37.6,3.1,38.1783578,0.099843327
E02000064,Childs Hill,47.66325224,22.2,19.3,25.4,30.3,3.8,76.71166827,0.119421747
E02000065,Crossway Park,40.25567441,10.9,40.2,22.8,24.4,5.2,87.2418136,0.121408979
E02000066,South Thamesmead,35.36977492,13.3,22.5,50.3,12.7,6.1,27.92823713,0.078985588
E02000067,Belvedere & Lessness Heath,22.57142857,20.3,37.5,19.5,21.1,3.2,64.72981564,0.112060499
E02000068,Erith East,26.27233351,15.6,31.5,23.9,23,3.6,45.17718237,0.102544481
E02000069,Erith West,17.30707136,33,37.8,12.6,15.2,3,36.10475352,0.092527124
E02000070,Lesnes Abbey,12.66031746,41.9,39.7,7.7,8.8,2.5,47.62922123,0.161336999
E02000071,Northumberland Heath,10.36986301,32.8,44.1,11.4,10,2.7,43.52909483,0.188884763
E02000072,Slade Green & Crayford Marshes,19.78012613,12.2,28.7,44.2,13.5,2.1,64.85156913,0.142688988
E02000073,Bostall,11.10593062,42.4,46.8,4.1,5.6,1.8,29.80342857,0.083441982
E02000074,Lesney Farm & Colyers East,12.50163292,19.8,32.1,36.1,8.4,1.7,67.86875,0.19209872
E02000075,Bursted Wood,9.109209864,46.3,41.9,5.5,5.4,1.6,76.90876882,0.137164574
E02000077,St Michael's,12.52716349,34.1,46.7,9.6,8.2,2.4,53.55700326,0.236345943
E02000078,Barnehurst North,7.38421396,38,48.6,4.2,7.9,1.5,73.53625783,0.163257852
E02000079,Bexleyheath Broadway,12.40940877,38,40.3,4,16.1,2.7,53.23924731,0.191365817
E02000080,Welling,14.5281018,38.4,42.6,6.2,11.1,3,53.2038835,0.195597628
E02000081,Barnehurst South,8.691601225,37.4,39.1,14.1,8.3,1.9,61.09929078,0.167827433
E02000082,Falconwood,10.17350158,39.6,50.2,0.5,8.1,2.7,36.65457842,0.203438041
E02000083,Crayford,10.25483574,27.1,43.3,17.9,10.4,2.1,61.60213618,0.166558301
E02000084,Danson Park,10.14002443,40.3,45.8,4.2,8.4,1.9,30.93875368,0.133644537
E02000085,Blackfen,8.298492335,36.1,48.9,4.4,9.6,2.5,42.71781033,0.191589207
E02000086,Lamorbey,7.478165939,39.6,50.3,0.8,8.3,1.6,49.5320197,0.169070114
E02000087,Bexley Village,9.077714738,45.7,39.1,4,10.1,2.5,48.89858966,0.19228128
E02000088,Albany Park,8.116841153,41.9,47,3.3,7,1.7,21.61733046,0.215610606
E02000089,Longlands & Halfway,7.272260054,41.4,46.7,5.1,5.8,1.4,39.00950475,0.193767633
E02000090,Sidcup West,10.42860417,35.3,35.6,9,17.8,3.2,57.04678363,0.203357253
E02000091,Sidcup East,10.94815121,37.3,32,16.2,13.4,3.8,52.39226519,0.201096699
E02000092,Foots Cray Meadows,10.58201058,24.1,31,32.7,9,2.3,36.49231895,0.22872607
E02006785,Wickham Street & East Wickham,14.64598997,34.6,38.9,15.1,10,2.5,115.9536542,0.113604919
E02000093,Queensbury South,56.89607645,32.5,31.3,11.8,21.1,1.8,11.32009346,0.160695857
E02000094,Kingsbury East & Colindale,55.06517265,27.4,31,14.5,23.9,2.6,48.86847906,0.18373177
E02000095,Kingsbury West,60.00403185,32.9,27,12.8,25,2.1,80.31227306,0.148928475
E02000096,Kenton Woodcock Park,50.93445644,40.8,34.6,4.3,18.6,2.5,79.69931271,0.135604182
E02000097,Kingsbury South,54.92297388,30,33.1,10.8,24.4,1.9,63.87346675,0.172225591
E02000098,Barnhill The Avenue,56.10523666,26.2,27.5,18.2,25.4,2.9,45.56234719,0.229272874
E02000099,Preston Park & East Lane,57.34466521,25.2,26.6,13.6,31.1,2.4,48.24692678,0.144898637
E02000100,Northwick Park,52.52742012,33.3,32.2,16.4,16.1,5.4,45.38879826,0.151311849
E02000101,Forty Lane,56.47235319,17.2,20.3,31.6,26.6,2.4,68.93550894,0.124887286
E02000102,Welsh Harp,55.37434185,24.2,21.6,23.6,28,1.9,41.96729197,0.17008596
E02000103,Dollis Hill,53.42198785,23.6,23.8,25.8,23.7,2.4,68.10541311,0.146203723
E02000104,Wembley North,57.21885621,30.9,27.2,11.5,26.9,2.4,55.75423105,0.119308433
E02000105,Sudbury East,59.93262334,20.5,28.9,14.1,33.9,2.3,52.0993228,0.132257366
E02000106,Neasden,58.87246746,20.3,21.7,18.6,36.8,2.7,65.47833935,0.170365265
E02000107,Cricklewood Anson Road,54.95697718,17,18.9,15.3,47.3,3.2,71.13868613,0.121177919
E02000108,Sudbury West,60.4799514,24.9,29.9,15.7,27.2,1.5,79.74645787,0.113428091
E02000109,Tokyngton,61.73965937,24.2,22.8,14.9,32.8,4.5,120.9528796,0.107869449
E02000110,Dudden Hill,51.9104736,23.1,22.6,20,32.7,1.9,80.6396064,0.140024405
E02000111,Wembley West,66.31568186,24.4,26.4,13.3,33.3,1.9,69.67542504,0.0981958
